gg,run,applicationCompletionTime,x1,x2,x3,dataSize,nContainers
0,0,74.0768750651794,6.407687506517939,8.28980325918457,8.279293342145525,1,2
1,1,67.16777013937559,5.716777013937558,7.491445441445736,7.277622166648616,1,4
2,2,56.72161830593497,4.672161830593497,6.225020019156594,6.04457623504827,1,6
3,3,54.01127297676064,4.401127297676064,7.01013611171787,1.4498522031834877,1,8
4,4,50.127760656188144,4.012776065618814,7.616407060072026,3.015779899052803,1,10
5,5,50.135797666035344,4.013579766603534,6.514321039618586,8.826079269237024,1,12
6,6,62.11525797927939,5.211525797927939,8.855094750715303,8.484558967425144,1,14
7,7,57.16893011182993,4.716893011182993,6.026386712992666,6.760743961493237,1,16
8,8,77.5127521042028,6.75127521042028,7.887036648565038,8.61218402091702,1,18
9,9,57.56753564036528,4.7567535640365275,6.808653217220572,3.9844008026561815,1,20
10,10,66.88839449325116,5.688839449325116,6.086693369347525,14.560579866381959,1,22
11,11,62.53831335727316,5.253831335727316,6.354705187138037,5.001525447006047,1,24
12,12,65.68427105182955,5.5684271051829555,6.3334401671889164,8.79183728465905,1,26
13,13,67.62419945198054,5.7624199451980544,8.761108066584299,11.451272995306438,1,28
14,14,52.93473614037369,4.293473614037369,7.366279480222019,5.761061803456562,1,30
15,15,74.52419291711878,6.452419291711879,6.3735397348640825,11.865795865501578,1,32
16,16,52.14508664000128,4.214508664000128,6.204974202115731,7.6996545536241605,1,34
17,17,76.09617194847327,6.609617194847327,6.827947085805051,10.374889199776195,1,36
18,18,76.23558661243965,6.623558661243965,6.4522470680671145,7.428683862332414,1,38
19,19,57.208934757519565,4.720893475751956,8.161976260537863,6.74125274807554,1,40
20,20,77.56778776252573,6.756778776252573,8.123843945432366,7.566479613336066,1,2
21,21,67.0859090210027,5.708590902100271,8.703641920386769,17.4243335864426,1,4
22,22,69.69824584427428,5.969824584427428,7.627348672261361,8.516678762286476,1,6
23,23,58.50572041090534,4.850572041090534,7.346352976155225,6.3600200796865956,1,8
24,24,54.013511849808,4.4013511849808,8.196400061332396,8.397385765503357,1,10
25,25,50.82274419803219,4.082274419803219,6.392178249794422,10.75815518669587,1,12
26,26,69.70794710790858,5.970794710790859,8.526647758875779,6.571873003049729,1,14
27,27,78.00411541271863,6.800411541271863,7.558680853941569,9.183597974094884,1,16
28,28,71.28738994172039,6.128738994172039,8.657213367127,5.019452590803262,1,18
29,29,63.33939932436227,5.333939932436227,8.142313712088825,7.549392543352977,1,20
30,30,65.74810537341403,5.574810537341404,6.162727546468864,7.953030998788733,1,22
31,31,66.79694003094745,5.679694003094745,6.782921159780409,10.590695141071265,1,24
32,32,52.16555957473134,4.216555957473134,8.522608850600106,9.28464506767694,1,26
33,33,75.3797846224139,6.537978462241389,8.340663291484033,5.094081134254031,1,28
34,34,76.12273396086297,6.612273396086298,8.459190338429714,7.690415129603237,1,30
35,35,78.48065622791076,6.848065622791076,8.507283119363798,6.685152171162545,1,32
36,36,62.689185232074806,5.26891852320748,7.783556463238607,14.03593822944214,1,34
37,37,66.50889424366801,5.650889424366801,8.92362631705635,10.309868019150814,1,36
38,38,55.81611192458112,4.581611192458112,6.647271184621248,8.268645836778825,1,38
39,39,70.22070079956907,6.022070079956908,6.434618284396925,5.399027667491295,1,40
40,40,77.467978684567,6.7467978684567,6.514000860759988,7.863915672954607,1,2
41,41,59.28066106077925,4.928066106077925,6.866019229212612,7.939515741141896,1,4
