run,applicationCompletionTime,x1,x2,x3,datasize,nContainers
1,60.999170,2.050014,7.871710,6.334427,2.000000,0.000000
2,40.419026,1.061839,5.980626,5.463076,4.000000,0.000000
3,13.473748,-0.433485,3.820336,5.209499,6.000000,0.000000
4,-27.848376,0.088254,-6.022130,6.213363,8.000000,0.000000
5.000000,24.994075,3.576897,-2.122067,5.180813,10.000000,0.000000
6.000000,22.759155,4.496434,-4.611347,5.604902,12.000000,0.000000
7.000000,51.534846,2.041656,6.377388,7.136412,14.000000,0.000000
8.000000,33.557054,-1.655685,10.112105,4.599451,16.000000,0.000000
9.000000,21.151615,0.294048,3.764834,6.702382,18.000000,0.000000
10.000000,-15.492560,2.245967,-7.597587,6.487618,20.000000,0.000000
11.000000,-61.764670,-3.467653,-5.288359,5.495289,22.000000,0.000000
12.000000,94.456876,2.054954,14.926311,6.201741,24.000000,0.000000
13.000000,59.361621,-0.693315,13.390414,5.868538,26.000000,0.000000
14.000000,99.343915,-0.570832,21.192455,6.217060,28.000000,0.000000
15.000000,-44.190932,1.191576,-11.135028,4.455930,30.000000,0.000000
16.000000,19.957703,2.395390,-1.058518,5.892892,32.000000,0.000000
17.000000,130.775974,3.930662,18.536920,5.067639,34.000000,0.000000
18.000000,112.030638,3.613562,14.857860,6.138356,36.000000,0.000000
19.000000,63.065166,0.768372,11.113217,5.845148,38.000000,0.000000
20.000000,23.847738,3.150013,-1.746342,4.816440,40.000000,0.000000
21.000000,47.469153,4.578548,0.603158,6.510138,2.000000,0.000000
22.000000,-33.114226,-0.839015,-5.009020,5.881044,4.000000,0.000000
23.000000,100.654825,1.753581,16.606683,7.474603,6.000000,0.000000
24.000000,38.307204,4.998616,-2.527370,3.084199,8.000000,0.000000
25.000000,0.498478,-1.331377,2.978911,6.152622,10.000000,0.000000
26.000000,28.662982,0.151699,5.108100,6.065286,12.000000,0.000000
27.000000,98.057874,2.425193,15.119777,6.473512,14.000000,0.000000
28.000000,40.533683,3.488695,1.259110,6.642630,16.000000,0.000000
29.000000,156.118452,6.552737,18.281043,5.274225,18.000000,0.000000
30.000000,63.640148,0.643065,11.467300,5.265254,20.000000,0.000000
31.000000,1.925872,2.467173,-4.580570,7.137034,22.000000,0.000000
